Date and UTC Time,MMSI,Lat,Lon,SOG,HDG,COG,ROT
03-08-19 03:23:08, 367440770, 50.876433, -1.303367, 0.0, 247.0, 204.6, 0.0
03-08-19 03:26:08, 367440770, 50.876400, -1.303348, 0.0, 247.0, 204.6, 0.0
03-08-19 03:29:08, 367440770, 50.876407, -1.303352, 0.0, 248.0, 204.6, 0.0
03-08-19 03:32:08, 367440770, 50.876417, -1.303357, 0.0, 248.0, 204.6, 0.0
03-08-19 03:35:08, 367440770, 50.876417, -1.303350, 0.0, 248.0, 204.6, 0.0
03-08-19 03:38:08, 367440770, 50.876407, -1.303348, 0.0, 249.0, 204.6, 0.0
03-08-19 03:41:10, 367440770, 50.876417, -1.303353, 0.0, 249.0, 204.6, 0.0
03-08-19 03:44:08, 367440770, 50.876417, -1.303350, 0.0, 249.0, 204.6, 0.0
03-08-19 03:47:08, 367440770, 50.876417, -1.303363, 0.0, 250.0, 204.6, 0.0
03-08-19 03:50:08, 367440770, 50.876407, -1.303368, 0.0, 250.0, 204.6, 0.0
03-08-19 03:53:08, 367440770, 50.876400, -1.303353, 0.0, 250.0, 204.6, 0.0
03-08-19 03:56:08, 367440770, 50.876390, -1.303357, 0.0, 250.0, 204.6, 0.0
03-08-19 03:59:08, 367440770, 50.876407, -1.303367, 0.0, 251.0, 204.6, 0.0
03-08-19 04:05:10, 367440770, 50.876417, -1.303365, 0.0, 251.0, 204.6, 0.0
03-08-19 04:08:09, 367440770, 50.876407, -1.303355, 0.0, 251.0, 204.6, 0.0
03-08-19 04:11:08, 367440770, 50.876417, -1.303355, 0.0, 252.0, 204.6, 0.0
03-08-19 04:14:08, 367440770, 50.876423, -1.303357, 0.0, 252.0, 204.6, 0.0
03-08-19 04:20:08, 367440770, 50.876417, -1.303358, 0.0, 252.0, 204.6, 0.0
03-08-19 04:23:09, 367440770, 50.876417, -1.303348, 0.0, 253.0, 204.6, 0.0
03-08-19 04:26:08, 367440770, 50.876400, -1.303355, 0.0, 253.0, 204.6, 0.0
03-08-19 04:32:10, 367440770, 50.876407, -1.303335, 0.0, 253.0, 204.6, 0.0
03-08-19 04:35:09, 367440770, 50.876400, -1.303353, 0.0, 254.0, 204.6, 0.0
03-08-19 04:38:08, 367440770, 50.876400, -1.303357, 0.0, 254.0, 204.6, 0.0
03-08-19 04:41:08, 367440770, 50.876417, -1.303335, 0.0, 254.0, 204.6, 0.0
03-08-19 04:44:08, 367440770, 50.876407, -1.303358, 0.0, 254.0, 204.6, 0.0
03-08-19 04:47:08, 367440770, 50.876400, -1.303367, 0.0, 254.0, 204.6, 0.0
03-08-19 04:50:11, 367440770, 50.876407, -1.303350, 0.0, 254.0, 204.6, 0.0
03-08-19 04:53:10, 367440770, 50.876390, -1.303365, 0.0, 254.0, 204.6, 0.0
03-08-19 04:56:08, 367440770, 50.876407, -1.303348, 0.0, 255.0, 204.6, 0.0
03-08-19 04:59:08, 367440770, 50.876407, -1.303357, 0.0, 255.0, 204.6, 0.0
03-08-19 05:02:09, 367440770, 50.876407, -1.303357, 0.0, 255.0, 204.6, 0.0
03-08-19 05:05:08, 367440770, 50.876417, -1.303337, 0.0, 255.0, 204.6, 0.0
03-08-19 05:08:08, 367440770, 50.876417, -1.303358, 0.0, 255.0, 204.6, 0.0
03-08-19 05:14:09, 367440770, 50.876423, -1.303368, 0.0, 255.0, 204.6, 0.0
03-08-19 05:17:08, 367440770, 50.876407, -1.303350, 0.0, 255.0, 204.6, 0.0
03-08-19 05:20:09, 367440770, 50.876417, -1.303337, 0.0, 255.0, 204.6, 0.0
03-08-19 05:23:08, 367440770, 50.876417, -1.303360, 0.0, 255.0, 204.6, 0.0
03-08-19 05:26:11, 367440770, 50.876407, -1.303357, 0.0, 256.0, 204.6, 0.0
03-08-19 05:29:11, 367440770, 50.876423, -1.303365, 0.0, 256.0, 204.6, 0.0
03-08-19 05:32:08, 367440770, 50.876400, -1.303353, 0.0, 256.0, 204.6, 0.0
03-08-19 05:35:09, 367440770, 50.876400, -1.303363, 0.0, 255.0, 204.6, 0.0
03-08-19 05:38:08, 367440770, 50.876390, -1.303357, 0.0, 256.0, 204.6, 0.0
03-08-19 05:41:09, 367440770, 50.876417, -1.303347, 0.0, 256.0, 204.6, 0.0
03-08-19 05:44:08, 367440770, 50.876400, -1.303353, 0.0, 256.0, 204.6, 0.0
03-08-19 05:47:08, 367440770, 50.876417, -1.303380, 0.0, 256.0, 204.6, 0.0
03-08-19 05:56:08, 367440770, 50.876423, -1.303375, 0.0, 256.0, 204.6, 0.0
03-08-19 05:59:12, 367440770, 50.876407, -1.303350, 0.0, 256.0, 204.6, 0.0
03-08-19 06:02:08, 367440770, 50.876417, -1.303358, 0.0, 256.0, 204.6, 0.0
03-08-19 06:05:08, 367440770, 50.876407, -1.303357, 0.0, 256.0, 204.6, 0.0
03-08-19 06:08:08, 367440770, 50.876423, -1.303385, 0.0, 257.0, 204.6, 0.0
03-08-19 06:11:08, 367440770, 50.876407, -1.303352, 0.0, 257.0, 204.6, 0.0
03-08-19 06:14:08, 367440770, 50.876390, -1.303363, 0.0, 256.0, 204.6, 0.0
03-08-19 06:20:08, 367440770, 50.876417, -1.303365, 0.0, 257.0, 204.6, 0.0
